證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,日期
2031,新光鋼          ,"411,000","101,000","310,000",0,0,0,0,0,0,"60,000","60,000",0,"60,000","42,000","42,000",0,"370,000",2018-01-02
2031,新光鋼          ,"117,000","293,000","-176,000",0,0,0,0,0,0,"98,000","132,000","10,000","122,000","91,000","115,000","-24,000","-78,000",2018-01-03
2031,新光鋼          ,"149,000","116,000","33,000",0,0,0,0,0,0,"-103,000",0,"70,000","-70,000","2,000","35,000","-33,000","-70,000",2018-01-04
2031,新光鋼          ,"166,000","86,000","80,000",0,0,0,0,0,0,"129,000",0,0,0,"139,000","10,000","129,000","209,000",2018-01-05
2031,新光鋼          ,"207,000","413,000","-206,000",0,0,0,0,0,0,"625,000","650,000","105,000","545,000","268,000","188,000","80,000","419,000",2018-01-08
2031,新光鋼          ,"115,000","310,000","-195,000",0,0,0,0,0,0,"-191,000",0,"18,000","-18,000","58,000","231,000","-173,000","-386,000",2018-01-09
2031,新光鋼          ,"248,000","206,000","42,000",0,0,0,0,0,0,"-236,000","73,000","223,000","-150,000","70,000","156,000","-86,000","-194,000",2018-01-10
2031,新光鋼          ,"260,000","239,479","20,521",0,0,0,0,0,0,"-2,000",0,"10,000","-10,000","74,000","66,000","8,000","18,521",2018-01-11
2031,新光鋼          ,"143,000","37,000","106,000",0,0,0,0,0,0,"-39,000",0,0,0,"6,000","45,000","-39,000","67,000",2018-01-12
2031,新光鋼          ,"42,000","137,000","-95,000",0,0,0,0,0,0,"-241,000",0,"195,000","-195,000","18,000","64,000","-46,000","-336,000",2018-01-15
2031,新光鋼          ,"124,000","120,000","4,000",0,0,0,0,0,0,"-2,000",0,"10,000","-10,000","20,000","12,000","8,000","2,000",2018-01-16
2031,新光鋼          ,"45,000","140,000","-95,000",0,0,0,0,0,0,"-87,000",0,"40,000","-40,000","6,000","53,000","-47,000","-182,000",2018-01-17
2031,新光鋼          ,0,"236,000","-236,000",0,0,0,0,0,0,"-13,000",0,0,0,"7,000","20,000","-13,000","-249,000",2018-01-18
2031,新光鋼          ,"252,000","377,000","-125,000",0,0,0,0,0,0,"549,000","319,000","50,000","269,000","286,000","6,000","280,000","424,000",2018-01-19
2031,新光鋼          ,"1,748,000","326,000","1,422,000",0,0,0,"856,000",0,"856,000","180,000","137,000","5,000","132,000","233,000","185,000","48,000","2,458,000",2018-01-22
2031,新光鋼          ,"1,267,000","126,000","1,141,000",0,0,0,"551,000",0,"551,000","-155,000","213,000","170,000","43,000","11,000","209,000","-198,000","1,537,000",2018-01-23
2031,新光鋼          ,"807,000","29,000","778,000",0,0,0,"188,000",0,"188,000","-140,000","5,000","120,000","-115,000","6,000","31,000","-25,000","826,000",2018-01-24
2031,新光鋼          ,"1,325,000","60,000","1,265,000",0,0,0,"100,000",0,"100,000","546,000","670,000","277,000","393,000","154,000","1,000","153,000","1,911,000",2018-01-25
2031,新光鋼          ,"1,022,000","104,000","918,000",0,0,0,"380,000",0,"380,000","678,000","412,000","42,000","370,000","412,000","104,000","308,000","1,976,000",2018-01-26
2031,新光鋼          ,"90,000","328,000","-238,000",0,0,0,0,0,0,"142,000","417,000","88,000","329,000","63,000","250,000","-187,000","-96,000",2018-01-29
2031,新光鋼          ,"87,000","145,000","-58,000",0,0,0,0,0,0,"220,000","333,000",0,"333,000","20,000","133,000","-113,000","162,000",2018-01-30
2031,新光鋼          ,"490,000","686,000","-196,000",0,0,0,0,0,0,"-112,000","313,000","876,000","-563,000","526,000","75,000","451,000","-308,000",2018-01-31
2031,新光鋼          ,"78,000","932,000","-854,000",0,0,0,"303,000",0,"303,000","-30,000","216,000",0,"216,000","59,000","305,000","-246,000","-581,000",2018-02-01
2031,新光鋼          ,"283,322","773,000","-489,678",0,0,0,0,0,0,"368,000","211,000","203,000","8,000","418,000","58,000","360,000","-121,678",2018-02-02
2031,新光鋼          ,"636,000","440,000","196,000",0,0,0,"1,206,000",0,"1,206,000","-88,000","139,000","126,000","13,000","347,000","448,000","-101,000","1,314,000",2018-02-05
2031,新光鋼          ,"393,000","1,548,000","-1,155,000",0,0,0,"1,938,000",0,"1,938,000","-397,000","301,000","379,000","-78,000","97,000","416,000","-319,000","386,000",2018-02-06
2031,新光鋼          ,"617,000","357,000","260,000",0,0,0,0,0,0,"-152,000","285,000","692,000","-407,000","339,000","84,000","255,000","108,000",2018-02-07
2031,新光鋼          ,"320,000","753,000","-433,000",0,0,0,0,0,0,"-440,000","15,000","192,000","-177,000","13,000","276,000","-263,000","-873,000",2018-02-08
2031,新光鋼          ,"679,575","762,000","-82,425",0,0,0,0,0,0,"-498,000","29,000","424,000","-395,000","19,000","122,000","-103,000","-580,425",2018-02-09
2031,新光鋼          ,"228,000","788,000","-560,000",0,0,0,0,0,0,"324,000","317,000","8,000","309,000","75,000","60,000","15,000","-236,000",2018-02-12
2031,新光鋼          ,"474,813","434,000","40,813",0,0,0,0,0,0,"531,000","128,000","100,000","28,000","523,000","20,000","503,000","571,813",2018-02-21
2031,新光鋼          ,"353,678","139,000","214,678",0,0,0,0,0,0,"-288,000","60,000","160,000","-100,000","52,000","240,000","-188,000","-73,322",2018-02-22
2031,新光鋼          ,"1,024,000","632,000","392,000",0,0,0,"1,500,000",0,"1,500,000","653,000","90,000","230,000","-140,000","880,000","87,000","793,000","2,545,000",2018-02-23
2031,新光鋼          ,"286,425","144,000","142,425",0,0,0,0,0,0,"-457,000",0,"10,000","-10,000","57,000","504,000","-447,000","-314,575",2018-02-26
